LOC, RR retired_uops, loads_retired_uops, LLC_misses, LLC_references, local_accesses, remote_accesses, inter_socket1, inter_socket2, context_switches, number_of_threads, result
1, 0, 6158666173, 1718315232, 183, 58653824, 45, 17, 242, 48, 0, 2, 1
1, 0, 12079246068, 3822997118, 393, 129760155, 183, 46, 39, 1500, 0, 3, 1
1, 0, 17052505935, 5351908317, 856, 153211513, 2300, 568, 488, 718, 0, 4, 1
1, 0, 23781088041, 7581901423, 1733751, 180467037, 623387, 197, 885, 351, 0, 5, 1
1, 0, 23711927968, 8083455567, 33505294, 233921242, 11310598, 515, 692, 339, 0, 6, 1
1, 0, 22481737046, 7859940233, 107988387, 337860268, 37349210, 750, 1488, 181, 0, 7, 1
1, 0, 19565571008, 6197690919, 208526818, 505712625, 67292208, 389, 284, 383, 0, 8, 1
1, 0, 17458907990, 5261919928, 256431053, 617857265, 73393241, 633, 898, 182, 0, 9, 1
1, 0, 15677070537, 4536472633, 233154038, 521175087, 69550036, 618, 623, 241, 0, 10, 1
1, 0, 13016321317, 4208240396, 202615213, 470603442, 67765816, 1089, 49066, 413, 0, 11, 1
1, 0, 12973608446, 4038718242, 198303834, 488416572, 61011227, 690, 408, 476, 0, 12, 1
1, 0, 13058922564, 3910505212, 189485747, 489605880, 57244801, 2100, 758, 301, 0, 13, 1
1, 0, 17546362759, 5605042383, 196074433, 522036196, 59954452, 961, 2187, 2999, 0, 14, 1
1, 0, 23642642574, 7595859989, 189301533, 565309041, 62259728, 735, 2210, 1265175, 0, 15, 1
1, 0, 29551197948, 9228879233, 188404204, 650604748, 62308496, 1649, 5014, 4093, 0, 16, 1
1, 0, 35300658703, 11224831705, 196525643, 622251424, 63493322, 2192, 1957, 5096, 0, 17, 1
1, 0, 40055007228, 12621255847, 211083034, 679338328, 66522294, 1955, 2288, 3881, 0, 18, 1
1, 0, 38057976898, 11452612415, 290393182, 770002970, 88193896, 2445, 3252, 2415, 0, 19, 1
1, 0, 31842122054, 9854243548, 417469454, 911866268, 106779608, 5378, 255413, 90979, 0, 20, 1
1, 0, 29650912533, 9113558705, 460785704, 1032732140, 129131230, 4730, 2039, 998, 0, 21, 1
1, 0, 26899058029, 8372172656, 436175519, 956759175, 122287198, 4393, 2056, 1941, 0, 22, 1
1, 0, 25478366145, 7917781048, 428318080, 939116196, 112249613, 4646, 2546, 131601, 0, 23, 1
0, 1, 6218699952, 1829787669, 239, 67016989, 69, 28, 246, 63, 0, 2, 1
0, 1, 11496668239, 3762694752, 7206, 127040702, 66, 186, 54, 6842, 0, 3, 1
0, 1, 18087579314, 5903677021, 11431, 174549704, 219, 131, 4, 10828, 0, 4, 1
0, 1, 23985405280, 7176821179, 14595, 234071905, 315, 516, 637, 13047, 0, 5, 1
0, 1, 28099489252, 8921884133, 14530, 246259064, 756, 256, 286, 15107, 0, 6, 1
0, 1, 34768354261, 11590424832, 21551, 295507927, 1342, 273, 903, 193817, 0, 7, 1
0, 1, 39619064755, 13014624834, 24805, 401498702, 886, 494, 4620, 28156, 0, 8, 1
0, 1, 43364979019, 14365789538, 28014, 375488871, 1338, 615, 197463, 33018, 0, 9, 1
0, 1, 51346370529, 16393374045, 31475, 367612004, 1417, 1363, 1591761, 602297, 0, 10, 1
0, 1, 55984786707, 17887541074, 127452, 476096883, 25277, 3562, 510023, 347843, 0, 11, 1
0, 1, 62758863976, 20258277218, 36196, 533001134, 2067, 2463, 3380, 36518, 0, 12, 1
0, 1, 66440758545, 21954378516, 188218, 557448276, 532359, 354679, 6075, 37606, 0, 13, 1
0, 1, 70046817591, 22664746206, 418335, 598879454, 111504, 2384, 8750, 37833, 0, 14, 1
0, 1, 75948933030, 24965804536, 1558866, 591141240, 549561, 4462, 5400, 36429, 0, 15, 1
0, 1, 82543520320, 26264627797, 4801125, 636727513, 1617524, 9487, 4127, 41558, 0, 16, 1
0, 1, 86992954265, 27572049201, 7229016, 631441200, 2298790, 7807, 7951, 45060, 0, 17, 1
0, 1, 93444264303, 29548471542, 46363500, 696845288, 15211325, 634054, 11146, 197670, 0, 18, 1
0, 1, 94858398322, 31944792877, 28115808, 707783075, 8806719, 104990, 5128, 45532, 0, 19, 1
0, 1, 101728377018, 33142016962, 58301503, 760286979, 16382912, 64908, 1870324, 185835, 0, 20, 1
0, 1, 99159862768, 32651149618, 83569640, 732957512, 21606481, 1115347, 351434, 95048, 0, 21, 1
0, 1, 101226168339, 31611757416, 151137404, 920048100, 45529131, 9404, 4106, 35304, 0, 22, 1
0, 1, 97943321796, 30760058137, 282716401, 1054288295, 89895858, 6857, 168810, 41516, 0, 23, 1
